"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2024","7,673.0","7,550.0","7,720.5","7,306.7","759.68K","1.56%"
"12/01/2023","7,555.0","7,361.0","7,680.5","7,345.0","691.03K","3.28%"
"11/01/2023","7,315.0","6,933.0","7,333.0","6,900.0","731.85K","6.06%"
"10/01/2023","6,897.0","7,225.5","7,225.5","6,764.5","775.29K","-3.56%"
"09/01/2023","7,151.5","7,335.0","7,459.0","7,042.5","1.05M","-2.42%"
"08/01/2023","7,328.5","7,531.0","7,533.5","7,113.5","761.47K","-2.46%"
"07/01/2023","7,513.5","7,425.0","7,542.0","7,079.5","678.55K","1.39%"
"06/01/2023","7,410.5","7,151.0","7,436.0","7,098.0","933.28K","4.23%"
"05/01/2023","7,109.5","7,362.0","7,362.0","7,107.0","0.28K","-4.15%"
"04/01/2023","7,417.5","7,270.5","7,528.0","7,247.0","414.91K","2.16%"
"03/01/2023","7,260.5","7,344.5","7,409.0","6,872.5","557.62K","-0.37%"
"02/01/2023","7,287.5","7,111.5","7,402.0","7,077.7","463.46K","2.78%"
"01/01/2023","7,090.5","6,482.0","7,129.5","6,482.0","1.41M","9.58%"
"12/01/2022","6,470.5","6,782.0","6,827.0","6,388.5","820.29K","-3.95%"
"11/01/2022","6,736.5","6,323.0","6,797.5","6,213.0","819.59K","7.47%"
"10/01/2022","6,268.5","5,695.0","6,323.0","5,654.5","1.75M","10.24%"
"09/01/2022","5,686.2","6,074.8","6,391.0","5,629.2","21.69K","-7.06%"
"08/01/2022","6,118.0","6,514.0","6,605.0","6,107.0","0.25K","-5.01%"
"07/01/2022","6,440.5","6,084.0","6,198.5","6,084.0","0.01K","8.90%"
"06/01/2022","5,914.0","6,472.0","6,587.5","5,819.5","1.67M","-8.40%"
"05/01/2022","6,456.5","6,361.0","6,570.0","6,041.0","1.85M","-0.31%"
"04/01/2022","6,476.5","6,648.0","6,754.0","6,278.0","1.66M","-2.72%"
"03/01/2022","6,657.5","6,629.0","6,829.0","5,751.5","2.13M","0.04%"
"02/01/2022","6,655.0","7,033.0","7,169.5","6,427.0","1.74M","-4.88%"
"01/01/2022","6,996.5","7,164.5","7,381.5","6,698.5","1.54M","-2.05%"
"12/01/2021","7,143.0","6,789.5","7,194.0","6,720.0","1.37M","6.36%"
"11/01/2021","6,716.0","6,857.5","7,184.0","6,640.5","1.54M","-1.62%"
"10/01/2021","6,826.5","6,456.0","6,857.5","6,406.0","1.41M","4.73%"
"09/01/2021","6,518.0","6,708.5","6,783.5","6,373.0","1.71M","-2.40%"
"08/01/2021","6,678.0","6,640.0","6,913.5","6,559.5","1.29M","1.04%"
"07/01/2021","6,609.5","6,539.5","6,668.0","6,247.5","1.54M","1.61%"
"06/01/2021","6,505.0","6,454.5","6,687.0","6,445.5","1.52M","1.07%"
"05/01/2021","6,436.0","6,223.0","6,485.5","6,138.0","1.53M","3.54%"
"04/01/2021","6,216.0","6,068.0","6,299.0","6,059.5","1.38M","2.47%"
"03/01/2021","6,066.0","5,739.0","6,096.5","5,734.0","1.53M","6.44%"
"02/01/2021","5,699.0","5,440.5","5,830.5","5,425.0","1.22M","5.62%"
"01/01/2021","5,396.0","5,585.5","5,725.0","5,365.0","1.56M","-2.63%"
"12/01/2020","5,542.0","5,553.0","5,617.5","5,288.5","1.51M","0.60%"
"11/01/2020","5,509.0","4,605.0","5,606.5","4,576.5","1.78M","20.02%"
